group,placeName,lineNumber,station,address,lat,lng
미술관,표갤러리,3호선,경복궁역,서울 종로구 자하문로5길 18-4,37.57789 ,126.97080 
공연/전시장,플랫폼창동61,"1호선, 4호선",창동역,서울 도봉구 마들로11길 74,37.65437 ,127.04881 
미술관,필갤러리(Fill Gallery),경의선,한남역,서울 용산구 유엔빌리지길 24,37.53447 ,127.00960 
공연장,하라스튜디오,"1호선, 7호선",가산디지털단지역,서울 금천구 가산디지털1로 181,37.47706 ,126.88269 
미술관,학고재,3호선,안국역,서울 종로구 소격동 70,37.58036 ,126.98026 
기타,한강공원,수인분당선,서울숲역,서울 성동구 강변북로 257,,
박물관/기념관,한국가구박물관,4호선,한성대입구역,서울 성북구 성북동 330-577,37.60003 ,126.99344 
박물관/기념관,한국금융사박물관,5호선,광화문역,서울 중구 태평로1가 62-12,37.56860 ,126.97643 
박물관/기념관,한국미술박물관,3호선,안국역,서울 종로구 창덕궁길 73,37.58087 ,126.98890 
박물관/기념관,한국분재박물관,신분당선,양재역,서울 서초구 신흥안길 40-10,37.45340 ,127.07546 
박물관/기념관,한국불교역사문화기념관,3호선,안국역,서울 종로구 견지동 45,37.57459 ,126.98196 
기타,한국영상자료원,경의선,수색역,서울 마포구 월드컵북로 400,37.58043 ,126.88998 
박물관/기념관,한국영화박물관,경의선,수색역,서울 마포구 상암동 1602,37.58045 ,126.88947 
박물관/기념관,한국은행 화폐금융박물관,4호선,회현역,서울 중구 남대문로3가 110,37.56208 ,126.98056 
공연장,한국의 집 민속극장,"3호선, 4호선",충무로역,서울 중구 필동2가 80-2,37.56021 ,126.99472 
박물관/기념관,한국천주교순교자박물관,"2호선, 6호선",합정역,서울 마포구 토정로 6,37.54431 ,126.91162 
미술관,한미사진미술관,9호선,한성백제역,서울 송파구 방이동 45,37.51659 ,127.11392 
박물관/기념관,한상수자수박물관,4호선,한성대입구역,서울 성북구 성북동 성북로16길 4-10,37.59355 ,127.00093 
박물관/기념관,한성백제박물관,9호선,한성백제역,서울 송파구 위례성대로 71,37.51554 ,127.12069 
박물관/기념관,한양대학교 박물관,2호선,한양대역,서울 성동구 왕십리로 222,37.55525 ,127.04472 
박물관/기념관,한양도성 유적전시관,4호선,회현역,서울 중구 회현동1가 100-267,37.55394 ,126.98221 
박물관/기념관,한양도성박물관,"1호선, 4호선",동대문역,서울 종로구 율곡로 283,37.57237 ,127.00883 
공연장,한전아트센터,"3호선, 신분당선",양재역,서울 서초구 효령로72길 60,37.48566 ,127.02804 
박물관/기념관,한전아트센터박물관,"3호선, 신분당선",양재역,서울 서초구 서초동 1355,37.48566 ,127.02804 
박물관/기념관,함석헌기념관,4호선,쌍문역,서울 도봉구 도봉로123길 33-6,37.51559 ,127.12066 
유적지,함양여씨묘역,2호선,양천구청,서울 구로구 고척동 산6-2,37.50727 ,126.85526 
기타,해공체육문화센터,"5호선, 8호선",천호역,서울 강동구 천호동 399-1,,
공연장,해바라기 소극장,4호선,혜화역,서울 종로구 동숭길 76,37.57237 ,127.00883 
공연장,허리우드 스카이쇼,5호선,서대문역,서울 종로구 삼일대로 428,,
유적지,허준기념관,9호선,가양역,서울 강서구 허준로 87,37.56789 ,126.85097 
유적지,헌인릉,신분당선선,양재시민의숲역,서울 서초구 헌인릉길 36-10,37.46498 ,127.08178 
박물관/기념관,혜곡최순우 기념관,4호선,한성대입구역,서울 성북구 성북동 126-20,37.59291 ,127.00032 
유적지,호국지장사,"4호선, 9호선",동작역,서울 동작구 현충로 210,37.49870 ,126.96472 
미술관,호리아트스페이스,수인분당선,압구정로데오역,서울 강남구 압구정로80길 26,37.52479 ,127.04459 
